cover,size_top,size_bottom,adventurous,styles,avoid,cluster
Ninguno,Large,Large,Medio,street|night,Ninguno,0
Ninguno,Extra_large,Extra_large,No,casual|street,Ninguno,1
Ninguno,Medium,Medium,Si,street,Ninguno,2
Ninguno,Small,Medium,No,casual,Ninguno,3
Ninguno,Medium,Large,No,minimal,bag|foulard|scarf|9,4
Ninguno,Large,Extra_large,Si,casual|night,Ninguno,5
Cintura,Large,Extra_large,No,street,Ninguno,6
Cintura,Large,Large,Si,casual|street,Ninguno,7
Ninguno,Extra_large,Large,Si,night,t-shirts,8
Ninguno,Small,Small,Medio,street|night,foulard|scarf,9
