nivel,ventas
2,2728
2,2332
2,682
2,4312
2,748
2,3630
2,858
2,2134
2,1540
2,3982
2,6838
2,1012
2,3674
2,5324
2,1892
2,15092
2,62226
2,836
2,638
2,3630
2,418
2,14911
2,3058
2,3762
2,6072
2,3058
2,2420
2,5169
2,4290
2,8074
2,1650
2,4443
2,1760
2,1804
2,16808
2,11528
2,1012
2,5521
2,1408
2,4532
2,1254
2,1826
2,572
2,3718
2,22635
2,6798
2,814
2,1518
2,2090
2,3762
2,2002
2,4422
2,1298
2,1650
2,3146
2,1144
2,11392
2,2178
2,748
2,1518
2,2310
2,34000
2,2816
2,1276
2,1408
2,3784
2,1386
2,7788
2,5806
2,7763
2,3520
2,4684
2,2486
2,1958
2,1958
2,5280
2,21618
2,1914
2,1122
2,8996
2,4180
2,2464
2,5236
2,418
2,198
2,2838
2,748
2,638
2,2068
2,1826
2,2398
2,1606
2,2156
2,2838
2,902
2,1342
2,1738
2,4202
2,1760
2,3760
2,2112
2,10824
2,682
2,9987
2,506
2,1232
2,1386
2,990
2,2508
2,3146
2,2486
2,1496
2,3783
2,44
2,14317
2,1144
2,1122
2,1342
2,1760
2,880
2,770
2,814
2,5610
2,2750
2,3475
2,1760
2,1232
2,990
2,1408
2,1716
2,3652
2,1738
2,3542
2,4508
2,1122
2,1760
2,902
2,528
2,4134
2,726
2,946
2,1782
2,1716
2,1496
2,2948
2,770
2,15814
2,660
2,8312
2,3101
2,748
2,3894
2,5500
2,8580
2,924
2,4686
2,2332
2,3938
2,1254
2,5544
2,5478
2,3388
2,1386
2,10472
2,484
2,3542
2,17490
2,946
2,5896
2,1166
2,2750
2,2376
2,2882
2,726
2,924
2,5346
2,858
2,8313
2,4070
2,4004
2,1562
2,1958
2,1518
2,3872
2,2244
2,396
2,1254
2,3564
2,902
2,1408
2,946
2,6864
2,3080
2,924
2,418
2,1210
2,1276
2,660
2,506
2,726
2,1760
2,726
2,770
2,5808
2,792
2,1364
2,1694
2,2662
2,4994
2,2310
2,4862
2,2398
2,4683
2,12866
2,8094
2,2156
2,1870
2,4180
2,374
2,2266
2,484
2,374
2,352
2,14624
2,1452
2,198
2,5365
2,572
2,1518
2,1408
2,4090
2,11613
2,770
2,924
2,2002
2,2969
2,3014
2,2838
2,2178
2,2750
2,2749
2,2574
2,2332
2,2244
2,2354
2,2662
2,2332
2,2310
2,6974
2,2354
2,2068
2,2596
2,2376
2,2376
2,2618
2,1166
2,1100
2,836
2,2420
2,1232
2,1210
2,2904
2,770
2,2244
2,2178
2,1232
2,396
2,1474
2,902
2,1166
2,748
2,2948
2,1496
2,880
2,7260
2,0
2,2266
2,2662
2,2398
2,990
2,594
2,2772
2,1738
2,770
2,29781
2,4927
2,3234
2,4750
2,4157
2,9105
2,726
2,3542
2,5983
2,3564
2,5060
2,682
2,3652
2,2970
2,2662
2,10888
2,5674
2,1188
2,1012
2,7192
2,1430
2,1694
2,4708
2,5654
2,4290
2,1848
2,1694
2,4422
2,44
2,4510
2,902
2,4796
2,6534
2,3146
2,3146
2,2200
2,2684
2,4906
2,1518
2,2772
2,858
2,704
2,1012
2,1870
2,506
2,3872
2,3982
2,396
2,3168
2,1100
2,9986
2,2310
2,2156
2,2640
2,6006
2,1298
2,1210
