nivel,ventas
2,2728
2,2332
2,682
1,770
1,704
2,4312
2,748
3,12494
2,3630
1,1122
3,21252
1,506
1,2420
2,858
2,2134
2,1540
1,1870
1,1518
2,3982
2,6838
2,1012
2,3674
1,1342
2,5324
1,748
1,2838
1,3300
1,13046
1,2068
3,2574
2,1892
1,2200
1,14561
1,3960
1,5720
2,15092
1,1144
2,62226
2,836
1,8336
1,726
2,638
1,616
2,3630
3,1474
2,418
2,14911
3,1056
1,924
1,1628
1,10098
2,3058
1,704
2,3762
2,6072
2,3058
1,924
1,1386
2,2420
2,5169
2,4290
2,8074
2,1650
2,4443
1,3190
1,726
2,1760
3,3762
1,11858
3,3476
2,1804
2,16808
2,11528
1,704
1,3783
2,1012
2,5521
1,1320
3,792
1,308
2,1408
2,4532
2,1254
1,726
1,2618
3,264
2,1826
1,5742
1,1320
1,726
1,176
2,572
3,2574
2,3718
1,836
1,8932
2,22635
2,6798
2,814
2,1518
1,4026
2,2090
3,682
3,15088
1,902
1,9963
3,594
3,3144
2,3762
1,792
2,2002
1,1232
2,4422
3,902
2,1298
2,1650
2,3146
2,1144
1,2948
1,0
2,11392
2,2178
2,748
2,1518
2,2310
3,198
2,34000
2,2816
2,1276
2,1408
2,3784
1,1254
2,1386
3,198
3,2903
2,7788
2,5806
2,7763
1,2002
2,3520
1,5126
2,4684
1,990
3,1275
2,2486
1,10956
2,1958
1,2222
1,2816
2,1958
3,3322
3,506
1,286
1,2970
3,1738
2,5280
1,16126
3,1694
2,21618
1,1628
3,2640
2,1914
3,572
3,1188
2,1122
2,8996
1,14580
1,3850
2,4180
2,2464
1,1012
3,968
2,5236
1,2816
2,418
1,880
2,198
1,1430
1,990
3,1781
1,814
1,1408
1,1342
1,374
1,836
1,1518
2,2838
2,748
3,22
1,1364
1,10230
3,1363
1,1188
2,638
3,836
1,2970
3,1363
1,1188
2,2068
1,572
3,2354
2,1826
2,2398
2,1606
3,1716
1,2662
2,2156
2,2838
1,1232
1,726
1,924
2,902
2,1342
2,1738
1,2332
3,44
2,4202
2,1760
2,3760
1,836
2,2112
1,1518
2,10824
1,550
3,1078
3,2046
2,682
2,9987
2,506
1,4356
2,1232
2,1386
2,990
3,1935
3,4331
3,22
3,3100
3,1913
3,3804
3,1429
3,4750
3,3628
2,2508
1,858
2,3146
2,2486
3,1144
3,13944
1,11660
1,11371
2,1496
1,1342
2,3783
2,44
3,1078
2,14317
2,1144
2,1122
3,1495
3,5804
2,1342
2,1760
2,880
2,770
1,902
2,814
2,5610
3,946
2,2750
2,3475
1,1386
2,1760
1,1144
2,1232
1,814
1,836
2,990
2,1408
2,1716
2,3652
1,2530
2,1738
2,3542
1,3190
1,4244
1,1606
2,4508
2,1122
2,1760
2,902
2,528
1,1782
2,4134
2,726
1,2970
2,946
2,1782
2,1716
2,1496
2,2948
1,10230
1,3542
1,2508
2,770
3,6906
2,15814
2,660
3,1188
3,1694
1,1628
1,4310
1,3498
2,8312
2,3101
2,748
2,3894
2,5500
3,13860
3,2090
3,2618
3,748
1,5962
1,1430
2,8580
1,2772
1,726
2,924
2,4686
2,2332
1,748
1,1276
2,3938
1,2090
1,2266
2,1254
1,4268
1,17357
1,6732
1,19792
1,5126
2,5544
2,5478
2,3388
