nombre,conteo_productos,envios,ventas
Abba Top miniprint,5,6927,2728
Abba Top print,5,5696,2332
Abbey Sweater embroidered,5,1760,682
Abby Dress caribbean,5,3212,770
Abelone Playsuit miniprint,5,1958,704
Abigail Shirt wdc,10,11129,4312
Abstract Sweater zebra,5,1870,748
Acacia Jacket ward,17,33999,12494
Acacia Top majolica,6,7477,3630
Acentia Short own,5,2816,1122
Acom Jacket port,45,51658,21252
Addi Playsuit flowers,5,3058,506
Addi Skirt even,10,8555,2420
Adelade Top micro,6,2222,858
Ademia Top ward,5,7322,2134
Adette Shirt broadway,5,4706,1540
Adina Jeans button,11,6687,1870
Agathe Skirt mila,3,4243,1518
Agave Tshirt mila,6,7984,3982
Agnes Sweater season,4,16888,6838
Agnes T-shirt off,12,2596,1012
Agnet Sweatshirt soya,18,8250,3674
Agosto Dress ycoo,4,2266,1342
Agreable Top mila,12,13505,5324
Ahina Pant floral,4,1276,748
Aida Jeans denim,7,6928,2838
Aida Pant camo,6,13415,3300
Aida Pant salute,30,37715,13046
Aissuia Jeans denim,4,7301,2068
Aitana Jacket moon,6,7412,2574
Aiur Shirt hippie,3,3629,1892
Akoz Dress print,8,6599,2200
Akoz Dress summer,20,29710,14561
Akoz Jumpsuit print,12,10735,3960
Akoz Jumpsuit summer,16,16167,5720
Akoz Shirt venus,24,44180,15092
Akoz Skirt spring,4,3607,1144
Akoz Top solid,79,120070,62226
Akuline Tshirt white,5,2750,836
Alaia Skirt animal,10,20649,8336
Alana Pant ancle,4,2486,726
Alanis Sweatshirt mellow,5,1760,638
Alba Dress light,3,1386,616
Alba Top dots,9,8732,3630
Alberte Jacket soya,12,3454,1474
Alejandra Shirt woven,3,1628,418
Alexa Cardigan soft,10,37891,14911
Alexa Jacket soya,6,3630,1056
Alexa Jeans cropped,5,2970,924
Alexa Jeans milan,5,4376,1628
Alexa Jeans slim,60,26838,10098
Alexa Shirt melagne,12,5082,3058
Alexandra Short stripe,4,1914,704
Alice Shirt off,8,10710,3762
Alice Shirt vneck,15,16495,6072
Alice Top floral,8,6842,3058
Allie Dress joules,7,2750,924
Allison Skirt easy,4,4002,1386
Ally Shirt bright,13,6710,2420
Almond Shirt print,6,9720,5169
Alpaca Sweater femme,8,15262,4290
Alva Tshirt msch,15,25796,8074
Alva Tshirt print,4,2706,1650
Amada Top bohck,5,10555,4443
Amadine Jumpsuit soft,5,7961,3190
Amalfi Skirt leaf,4,1628,726
Amali Tshirt numph,4,4597,1760
Amanda Jacket paris,13,10799,3762
Amanda Short woven,40,24216,11858
Amapola Jacket print,6,10072,3476
Amapola Shirt print,3,3827,1804
Amara Sweater ls,48,47329,16808
Amara Sweater v-neck,50,28173,11528
Amatista Short cerise,3,968,704
Ambar Dress ycoo,4,9895,3783
Amber Cardigan knit,6,2156,1012
Amberes Top wardrobe,7,14646,5521
Ambrose Dress ward,5,6355,1320
Amelot Jacket mila,2,2155,792
Amina Pant phase,5,792,308
Amour Sweatshirt french,4,3256,1408
Amsterdam T-shirt wardrobe,12,14360,4532
Amuse Tshirt society,8,4686,1254
Anabel Skirt soya,6,2310,726
Anc Pant silver,10,10205,2618
Andalo Jacket long,7,704,264
Andre Tshirt zeze,9,4488,1826
Andrea Dress hippie,11,18624,5742
Andrea Pant zeze,6,2222,1320
Andy Pant check,4,2881,726
Animal Skirt pleat,2,506,176
Animals Top print,3,1166,572
Anja Jacket suede,9,6994,2574
Anna Cardigan color,5,10380,3718
Anna Dress volume,5,1782,836
Anna Jeans style,15,24410,8932
Anna Shirt wdc,33,51220,22635
Anna T-shirt oneck,33,20041,6798
Annah Top nude,3,1342,814
Annais Top denim,4,3014,1518
Annan Dress cerise,8,12205,4026
Anne Shirt nice,5,4356,2090
Anta Jacket blazer,7,4003,682
Ante Jacket ycoo,16,31977,15088
Ante Pant,5,2552,902
Ante Skirt buttons,9,23706,9963
Ante Trench belt,3,1760,594
Anwick Scarf closet,2,7763,3144
Apais Tshirt mila,6,8334,3762
Ara Dress dark,3,2133,792
Ara Sweater season,8,6555,2002
Aragon Dress vneck,3,3475,1232
Araxas Cardigan colors,6,17372,4422
Arel Bag gold,1,2441,902
Aretha Tshirt soya,6,3080,1298
Arianne Top cerise,3,3695,1650
Ariel Shirt season,8,6600,3146
Ariel Top cerise,3,2771,1144
Arla Pant short,15,7304,2948
Arlet Skirt print,1,0,0
Arya Cardigan maxi,12,26831,11392
Arya Shirt easy,5,6180,2178
Asha Sweater joules,7,2024,748
Asiel Shirt cerise,3,3036,1518
Aslhey Top print,3,3848,2310
Asmine Jacket soya,6,814,198
Aster Top blue,36,67119,34000
Astra Sweatshirt ward,10,10116,2816
Atelier Sweatshirt nathael,3,2860,1276
Atelier Tshirt nathael,3,3366,1408
Athan Tshirt ward,10,9415,3784
Athantic Jeans lexy,5,3607,1254
Athenus Top versus,11,3894,1386
Athlei Coat padded,7,462,198
Athlete Jacket bomb,3,7850,2903
Aure Sweater ward,30,20921,7788
Aurore Sweater stripes,6,16120,5806
Austen Shirt miniprint,6,15966,7763
Austen Skirt floral,3,4266,2002
Auttum Shirt hippie,6,7805,3520
Ava Dress printed,6,11280,5126
Ava Tshirt season,8,12977,4684
Avery Dress dots,7,3058,990
Avierrow Scarf print,1,3387,1275
Awpocket Shirt miniprint,5,6334,2486
Awsix Skirt solid,20,34835,10956
Awvneck Shirt dots,5,6532,1958
Babs Jumpsuit overall,5,4224,2222
Baiba Pant comfort,10,5434,2816
Bail Top majolica,6,4026,1958
Ball Jacket bomber,6,11434,3322
Bamburg Scarf cahier,4,1078,506
Banda Pant shine,4,902,286
Baranya Shorts fit,10,5038,2970
Bari Parka silver,8,8753,1738
Base Sweater high,20,13131,5280
Basha Skirt bohck,35,43631,16126
