nivel,tasa_acept,contr_ventas
2,39.38,0.024268
2,40.94,0.020745
2,38.75,0.006067
1,23.97,0.00685
1,35.96,0.006263
2,38.75,0.03836
2,40.0,0.006654
3,36.75,0.111147
2,48.55,0.032292
1,39.84,0.009981
3,41.14,0.189058
1,16.55,0.004501
1,28.29,0.021528
2,38.61,0.007633
2,29.15,0.018984
2,32.72,0.0137
1,27.96,0.016636
1,35.78,0.013504
2,49.87,0.035424
2,40.49,0.060831
2,38.98,0.009003
2,44.53,0.032684
1,59.22,0.011938
2,39.42,0.047362
1,58.62,0.006654
1,40.96,0.025247
1,24.6,0.029357
1,34.59,0.116057
1,28.32,0.018397
3,34.73,0.022898
2,52.14,0.016831
1,33.34,0.019571
1,49.01,0.129535
1,36.89,0.035228
1,35.38,0.050885
2,34.16,0.134258
1,31.72,0.010177
2,51.82,0.553562
2,30.4,0.007437
1,40.37,0.074157
1,29.2,0.006458
2,36.25,0.005676
1,44.44,0.00548
2,41.57,0.032292
3,42.68,0.013113
2,25.68,0.003719
2,39.35,0.132648
3,29.09,0.009394
1,31.11,0.00822
1,37.2,0.014483
1,37.63,0.089832
2,60.17,0.027204
1,36.78,0.006263
2,35.13,0.033467
2,36.81,0.054016
2,44.69,0.027204
1,33.6,0.00822
1,34.63,0.01233
2,36.07,0.021528
2,53.18,0.045983
2,28.11,0.038164
2,31.3,0.071826
2,60.98,0.014678
2,42.09,0.039525
1,40.07,0.028378
1,44.59,0.006458
2,38.29,0.015657
3,34.84,0.033467
1,48.97,0.105489
3,34.51,0.030922
2,47.14,0.016048
2,35.51,0.149524
2,40.92,0.102553
1,72.73,0.006263
1,38.23,0.033654
2,46.94,0.009003
2,37.7,0.049115
1,20.77,0.011743
3,36.75,0.007046
1,38.89,0.00274
2,43.24,0.012526
2,31.56,0.040317
2,26.76,0.011156
1,31.43,0.006458
1,25.65,0.02329
3,37.5,0.002349
2,40.69,0.016244
1,30.83,0.051081
1,59.41,0.011743
1,25.2,0.006458
1,34.78,0.001566
2,49.06,0.005089
3,36.8,0.022898
2,35.82,0.033075
1,46.91,0.007437
1,36.59,0.079459
2,44.19,0.201361
2,33.92,0.060475
2,60.66,0.007241
2,50.36,0.013504
1,32.99,0.035815
2,47.98,0.018593
3,17.04,0.006067
3,47.18,0.134223
1,35.34,0.008024
1,42.03,0.088631
3,33.75,0.005284
3,40.5,0.027969
2,45.14,0.033467
1,37.13,0.007046
2,30.54,0.01781
1,35.45,0.01096
2,25.45,0.039338
3,36.95,0.008024
2,42.14,0.011547
2,44.65,0.014678
2,47.67,0.027987
2,41.28,0.010177
1,40.36,0.026225
1,,0.0
2,42.46,0.101343
2,35.24,0.019375
2,36.96,0.006654
2,50.0,0.013504
2,60.03,0.02055
3,24.32,0.001761
2,50.66,0.302464
2,27.84,0.025051
2,44.62,0.011351
2,41.83,0.012526
2,40.19,0.033662
1,34.77,0.011156
2,35.59,0.01233
3,42.86,0.001761
3,36.98,0.025825
2,37.23,0.069282
2,36.02,0.05165
2,48.62,0.06906
1,46.93,0.01781
